company_name;ticker;ticker_company
CITIGROUP;CTGP34;CTGP34-CITIGROUP
COTEMINAS;CTNM3;CTNM3-COTEMINAS
COTEMINAS;CTNM4;CTNM4-COTEMINAS
SANTANENSE;CTSA3;CTSA3-SANTANENSE
SANTANENSE;CTSA4;CTSA4-SANTANENSE
CVC BRASIL;CVCB3;CVCB3-CVC BRASIL
CVS HEALTH;CVSH34;CVSH34-CVS HEALTH
CYRELA REALT;CYRE3;CYRE3-CYRELA REALT
DASA;DASA3;DASA3-DASA
DIRECIONAL;DIRR3;DIRR3-DIRECIONAL
WALT DISNEY;DISB34;DISB34-WALT DISNEY
DOMMO;DMMO3;DMMO3-DOMMO
DTCOM-DIRECT;DTCY3;DTCY3-DTCOM-DIRECT
DURATEX;DTEX3;DTEX3-DURATEX
ACO ALTONA;EALT3;EALT3-ACO ALTONA
ACO ALTONA;EALT4;EALT4-ACO ALTONA
ECORODOVIAS;ECOR3;ECOR3-ECORODOVIAS
CEEE-GT;EEEL3;EEEL3-CEEE-GT
ENGIE BRASIL;EGIE3;EGIE3-ENGIE BRASIL
ELEKTRO;EKTR3;EKTR3-ELEKTRO
ELEKTRO;EKTR4;EKTR4-ELEKTRO
ELEKEIROZ;ELEK4;ELEK4-ELEKEIROZ
ELETROBRAS;ELET3;ELET3-ELETROBRAS
ELETROBRAS;ELET6;ELET6-ELETROBRAS
EMAE;EMAE4;EMAE4-EMAE
EMBRAER;EMBR3;EMBR3-EMBRAER
ENAUTA PART;ENAT3;ENAT3-ENAUTA PART
ENERGIAS BR;ENBR3;ENBR3-ENERGIAS BR
ENEVA;ENEV3;ENEV3-ENEVA
ENERGISA;ENGI3;ENGI3-ENERGISA
ENERGISA;ENGI4;ENGI4-ENERGISA
ENERGISA;ENGI11;ENGI11-ENERGISA
CEMAR;ENMA3B;ENMA3B-CEMAR
ENERGISA MT;ENMT3;ENMT3-ENERGISA MT
ENERGISA MT;ENMT4;ENMT4-ENERGISA MT
EQTL PARA;EQPA3;EQPA3-EQTL PARA
EQTL PARA;EQPA6;EQPA6-EQTL PARA
EQTL PARA;EQPA7;EQPA7-EQTL PARA
EQUATORIAL;EQTL3;EQTL3-EQUATORIAL
EUCATEX;EUCA3;EUCA3-EUCATEX
EUCATEX;EUCA4;EUCA4-EUCATEX
EVEN;EVEN3;EVEN3-EVEN
EXXON MOBIL;EXXO34;EXXO34-EXXON MOBIL
EZTEC;EZTC3;EZTC3-EZTEC
FACEBOOK;FBOK34;FBOK34-FACEBOOK
FERBASA;FESA4;FESA4-FERBASA
FLEURY;FLRY3;FLRY3-FLEURY
FRAS-LE;FRAS3;FRAS3-FRAS-LE
BIOTOSCANA;GBIO33;GBIO33-BIOTOSCANA
GE;GEOO34;GEOO34-GE
GER PARANAP;GEPA3;GEPA3-GER PARANAP
GER PARANAP;GEPA4;GEPA4-GER PARANAP
GAFISA;GFSA3;GFSA3-GAFISA
GERDAU;GGBR3;GGBR3-GERDAU
GERDAU;GGBR4;GGBR4-GERDAU
INTERMEDICA;GNDI3;GNDI3-INTERMEDICA
GERDAU MET;GOAU3;GOAU3-GERDAU MET
GERDAU MET;GOAU4;GOAU4-GERDAU MET
ALPHABET;GOGL34;GOGL34-ALPHABET
ALPHABET;GOGL35;GOGL35-ALPHABET
GOL;GOLL4;GOLL4-GOL
GP INVEST;GPIV33;GPIV33-GP INVEST
GEOPARK LTD;GPRK34;GPRK34-GEOPARK LTD
GRENDENE;GRND3;GRND3-GRENDENE
GENERALSHOPP;GSHP3;GSHP3-GENERALSHOPP
GUARARAPES;GUAR3;GUAR3-GUARARAPES
HAGA S-A;HAGA3;HAGA3-HAGA S-A
HAGA S-A;HAGA4;HAGA4-HAGA S-A
HAPVIDA;HAPV3;HAPV3-HAPVIDA
HELBOR;HBOR3;HBOR3-HELBOR
HERCULES;HETA4;HETA4-HERCULES
CIA HERING;HGTX3;HGTX3-CIA HERING
HOME DEPOT;HOME34;HOME34-HOME DEPOT
HYPERA;HYPE3;HYPE3-HYPERA
IBM;IBMB34;IBMB34-IBM
IDEIASNET;IDNT3;IDNT3-IDEIASNET
INDUSVAL;IDVL3;IDVL3-INDUSVAL
INDUSVAL;IDVL4;IDVL4-INDUSVAL
IGUATEMI;IGTA3;IGTA3-IGUATEMI
IRBBRASIL RE;IRBR3;IRBR3-IRBBRASIL RE
INTEL;ITLC34;ITLC34-INTEL
ITAUSA;ITSA3;ITSA3-ITAUSA
ITAUSA;ITSA4;ITSA4-ITAUSA
